category,gh_id,name,full_name,desc,created,last_update,size,forks,stars,language,homepage,license,topics
N/A,1039520,youtube-dl,ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,2010-10-31T14:35:07Z,2021-07-01T17:38:01Z,63683,5363,96973,Python,http://ytdl-org.github.io/youtube-dl/,"{'key': 'unlicense', 'name': 'The Unlicense', 'spdx_id': 'Unlicense', 'url': 'https://api.github.com/licenses/unlicense', 'node_id': 'MDc6TGljZW5zZTE1'}",[]
N/A,35955666,the-art-of-command-line,jlevy/the-art-of-command-line,"Master the command line, in one page",2015-05-20T15:11:03Z,2021-07-01T16:35:58Z,2590,10123,92618,,,,"['windows', 'macos', 'linux', 'bash', 'documentation', 'unix']"
N/A,3544424,httpie,httpie/httpie,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/httpie",2012-02-25T12:39:13Z,2021-07-01T15:52:19Z,6096,3325,51236,Python,https://httpie.io,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['python', 'api', 'debugging', 'cli', 'http', 'client', 'devops', 'json', 'development', 'terminal', 'web', 'rest', 'curl', 'rest-api', 'http-client', 'api-client', 'developer-tools', 'usability', 'api-testing', 'httpie']"
N/A,111583593,scrcpy,Genymobile/scrcpy,Display and control your Android device,2017-11-21T18:00:27Z,2021-07-01T17:36:51Z,2473,5285,51178,C,,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['android', 'c', 'ffmpeg', 'sdl2', 'screen', 'libav', 'recording', 'mirroring']"
N/A,154747577,bert,google-research/bert,TensorFlow code and pre-trained models for BERT,2018-10-25T22:57:34Z,2021-07-01T17:29:40Z,317,8064,28404,Python,https://arxiv.org/abs/1810.04805,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['nlp', 'natural-language-processing', 'google', 'tensorflow', 'natural-language-understanding']"
N/A,137147386,pure-bash-bible,dylanaraps/pure-bash-bible,📖 A collection of pure bash alternatives to external processes.,2018-06-13T01:39:33Z,2021-07-01T16:27:17Z,232,2455,27266,Shell,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['shell', 'bash', 'learning', 'list', 'script', 'book', 'reference', 'guide', 'handbook', 'bible', 'how-to', 'shell-scripts']"
N/A,6988020,sheetjs,SheetJS/sheetjs,:green_book: SheetJS Community Edition -- Spreadsheet Data Toolkit,2012-12-03T19:25:52Z,2021-07-01T12:14:40Z,60689,6800,26023,JavaScript,https://sheetjs.com/,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['react', 'nodejs', 'javascript', 'html', 'ios', 'json', 'data', 'angular', 'grid', 'csv', 'database', 'html5', 'vue', 'xml', 'excel', 'table', 'xlsx', 'xls', 'spreadsheet', 'dbf']"
N/A,42956467,awesome-macos-command-line,herrbischoff/awesome-macos-command-line,Use your macOS terminal shell to do awesome things.,2015-09-22T19:37:55Z,2021-07-01T10:51:01Z,551,1505,25325,,,"{'key': 'cc-by-sa-4.0', 'name': 'Creative Commons Attribution Share Alike 4.0 International', 'spdx_id': 'CC-BY-SA-4.0', 'url': 'https://api.github.com/licenses/cc-by-sa-4.0', 'node_id': 'MDc6TGljZW5zZTI2'}","['macos', 'shell', 'list', 'awesome', 'terminal', 'macosx', 'awesome-list']"
N/A,4484451,vimrc,amix/vimrc,The ultimate Vim configuration (vimrc),2012-05-29T16:19:29Z,2021-07-01T14:22:27Z,20535,6601,24792,Vim script,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,85031442,hiring-without-whiteboards,poteto/hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process,2017-03-15T05:09:01Z,2021-07-01T17:15:04Z,3179,1984,22274,JavaScript,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['tech', 'jobs', 'interview', 'whiteboard', 'hiring', 'airtable', 'hiring-without-whiteboards']"
N/A,21938243,awesome-rust,rust-unofficial/awesome-rust,A curated list of Rust code and resources.,2014-07-17T10:45:10Z,2021-07-01T17:33:03Z,4970,1415,20636,Rust,,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}","['rust', 'awesome']"
N/A,39122628,tips,git-tips/tips,Most commonly used git tips and tricks.,2015-07-15T07:24:48Z,2021-07-01T13:32:59Z,470,1674,19834,JavaScript,http://git.io/git-tips,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['git', 'tips', 'tips-and-tricks']"
